id,item_id,response,score,timeTaken,session_id,theta,sem,trait,skipped,createdTime,updateTime,ability
1605,13,,4,3,i964,0,1,narratives,0,"2024-09-28 23:29:59","2024-09-28 23:29:59",
1606,38,,4,3,i964,0,1,audio_aesthetics,0,"2024-09-28 23:29:59","2024-09-28 23:29:59",
1607,32,,4,3,i964,0,1,creative_freedom,0,"2024-09-28 23:29:59","2024-09-28 23:29:59",
1608,25,,4,3,i964,0,1,play_engrossment,0,"2024-09-28 23:29:59","2024-09-28 23:29:59",
1609,39,,4,3,i964,0,1,audio_aesthetics,0,"2024-09-28 23:29:59","2024-09-28 23:29:59",
1610,6,,4,2,i964,0,1,usability,0,"2024-09-28 23:30:02","2024-09-28 23:30:02",
1611,40,,4,2,i964,0,1,audio_aesthetics,0,"2024-09-28 23:30:02","2024-09-28 23:30:02",
1612,48,,4,2,i964,0,1,visual_aesthetics,0,"2024-09-28 23:30:02","2024-09-28 23:30:02",
1613,16,,4,2,i964,0,1,narratives,0,"2024-09-28 23:30:02","2024-09-28 23:30:02",
1614,12,,4,2,i964,0,1,narratives,0,"2024-09-28 23:30:02","2024-09-28 23:30:02",
1615,20,,4,3,i964,0,1,play_engrossment,0,"2024-09-28 23:30:05","2024-09-28 23:30:05",
1616,24,,4,3,i964,0,1,play_engrossment,0,"2024-09-28 23:30:05","2024-09-28 23:30:05",
1617,21,,4,3,i964,0,1,play_engrossment,0,"2024-09-28 23:30:05","2024-09-28 23:30:05",
1618,10,,4,3,i964,0,1,usability,0,"2024-09-28 23:30:05","2024-09-28 23:30:05",
1619,1,,4,3,i964,0,1,usability,0,"2024-09-28 23:30:05","2024-09-28 23:30:05",
1620,26,,4,2,i964,0,1,enjoyment,0,"2024-09-28 23:30:08","2024-09-28 23:30:08",
1621,8,,4,2,i964,0,1,usability,0,"2024-09-28 23:30:08","2024-09-28 23:30:08",
1622,3,,4,2,i964,0,1,usability,0,"2024-09-28 23:30:08","2024-09-28 23:30:08",
1623,29,,4,2,i964,0,1,enjoyment,0,"2024-09-28 23:30:08","2024-09-28 23:30:08",
1624,45,,4,2,i964,0,1,personal_gratification,0,"2024-09-28 23:30:08","2024-09-28 23:30:08",
1625,46,,4,1,i964,0,1,personal_gratification,0,"2024-09-28 23:30:10","2024-09-28 23:30:10",
1626,14,,4,1,i964,0,1,narratives,0,"2024-09-28 23:30:10","2024-09-28 23:30:10",
1627,19,,4,1,i964,0,1,play_engrossment,0,"2024-09-28 23:30:10","2024-09-28 23:30:10",
1628,4,,4,1,i964,0,1,usability,0,"2024-09-28 23:30:10","2024-09-28 23:30:10",
1629,30,,4,1,i964,0,1,enjoyment,0,"2024-09-28 23:30:10","2024-09-28 23:30:10",
1630,43,,4,2,i964,0,1,personal_gratification,0,"2024-09-28 23:30:12","2024-09-28 23:30:12",
1631,44,,4,2,i964,0,1,personal_gratification,0,"2024-09-28 23:30:12","2024-09-28 23:30:12",
1632,28,,4,2,i964,0,1,enjoyment,0,"2024-09-28 23:30:12","2024-09-28 23:30:12",
1633,31,,4,2,i964,0,1,creative_freedom,0,"2024-09-28 23:30:12","2024-09-28 23:30:12",
1634,41,,4,2,i964,0,1,personal_gratification,0,"2024-09-28 23:30:12","2024-09-28 23:30:12",
1635,5,,4,1,i964,0,1,usability,0,"2024-09-28 23:30:14","2024-09-28 23:30:14",
1636,36,,4,1,i964,0,1,creative_freedom,0,"2024-09-28 23:30:14","2024-09-28 23:30:14",
1637,33,,4,1,i964,0,1,creative_freedom,0,"2024-09-28 23:30:14","2024-09-28 23:30:14",
1638,11,,4,1,i964,0,1,usability,0,"2024-09-28 23:30:14","2024-09-28 23:30:14",
1639,27,,4,1,i964,0,1,enjoyment,0,"2024-09-28 23:30:14","2024-09-28 23:30:14",
1640,35,,4,2,i964,0,1,creative_freedom,0,"2024-09-28 23:30:17","2024-09-28 23:30:17",
1641,9,,4,2,i964,0,1,usability,0,"2024-09-28 23:30:17","2024-09-28 23:30:17",
1642,37,,4,2,i964,0,1,audio_aesthetics,0,"2024-09-28 23:30:17","2024-09-28 23:30:17",
1643,34,,4,2,i964,0,1,creative_freedom,0,"2024-09-28 23:30:17","2024-09-28 23:30:17",
1644,17,,4,2,i964,0,1,narratives,0,"2024-09-28 23:30:17","2024-09-28 23:30:17",
1645,15,,4,2,i964,0,1,narratives,0,"2024-09-28 23:30:19","2024-09-28 23:30:19",
1646,42,,4,2,i964,0,1,personal_gratification,0,"2024-09-28 23:30:19","2024-09-28 23:30:19",
