id,user_id,age,gender,nationality,learned_kanji,course_level
2,2,0,,,0,1
3,3,0,,,0,1
4,4,24,0,German,500,2
5,3,24,0,German,500,2
6,2,24,0,ger,150,2
7,2,24,0,German,500,1
8,2,24,1,23,50,-1
9,2,13,1,ger,100,-1
10,3,23,1,23,50,-1
11,4,13,2,ger,100,-2
12,5,23,2,der,100,0
13,2,23,1,23,100,-1
14,3,23,2,ger,50,0
15,4,12,1,der,50,-1
16,4,12,1,der,50,0
17,2,4,2,dr,100,0
18,3,23,2,der,50,-2
19,4,4,1,der,50,-1
20,5,23,1,dr,50,-1
21,2,23,1,der,50,-1
22,3,24,0,German,50,-1
23,4,24,2,dr,50,0
24,4,24,1,German,10,0
25,6,52,1,Japanese,500,2
26,6,20,1,German,10,-2
27,7,22,0,German,0,-2
28,7,22,0,German,0,0
29,7,22,0,German,50,0
30,7,22,0,German,50,0
31,7,22,0,"German ",50,0
32,8,22,0,Romania,50,0
33,8,22,0,Romania,10,0
34,9,20,1,Taiwan,500,-2
35,9,20,1,Taiwan,500,-2
36,9,20,1,Taiwan,500,-2
37,9,20,1,Taiwan,500,-2
38,10,23,0,Germany,50,-1
39,10,23,0,Germany,50,-1
40,11,26,0,Chinese,500,2
41,11,26,0,Chinese,500,2
42,12,24,0,German,500,2
43,12,24,0,German,500,2
44,12,24,0,German,100,-2
46,14,23,1,German,500,1
47,15,20,0,German,50,-1
48,15,20,0,Gernan,50,-1
49,15,20,0,German,50,-1
50,8,22,0,Romania,10,0
51,16,24,0,"German, German",500,2
66,7,22,0,German,50,0
67,17,24,2,German,500,2
68,8,22,0,Romania,50,0
69,19,20,0,German,500,2
70,20,22,0,German,500,2
71,21,25,0,German,500,1
72,23,18,0,German,100,-2
73,24,24,1,German,150,2
74,25,25,1,German,100,-1
75,9,20,1,Taiwan,500,-2
76,27,18,0,French,50,-2
77,10,23,0,Germany,50,-1
78,28,19,0,German,500,-1
79,29,20,0,German,150,-1
80,30,27,0,"German / Japanese",50,2
81,31,25,0,German,150,1
82,32,22,0,German,50,1
83,33,21,1,German,10,-1
84,34,21,2,German,500,-1
85,35,22,0,german,10,-2
86,36,26,0,Colombian,150,1
87,37,19,1,german,50,0
88,38,23,1,german,150,1
90,39,22,0,German,500,-2
91,22,20,1,German,10,-2
92,40,22,0,German,500,2
93,41,20,1,GERMANY,50,0
94,42,25,1,German,50,0
95,43,21,0,Indian,10,-1
96,44,21,0,Portuguese,100,1
97,45,24,0,Italian,50,-1
98,47,24,1,German,50,0
99,15,20,0,German,50,-2
100,48,19,0,german,0,-2
101,49,26,0,German,50,-2
102,49,26,0,German,50,-1
103,50,22,0,romanian,0,-2
104,51,58,1,japanisch,500,2
105,52,23,1,German,500,2
106,53,21,1,Hungarian,50,-2
107,12,24,0,German,500,2
108,56,29,0,Turkish,500,2
109,57,21,2,German,50,-2
110,58,22,0,Bulgarian,50,-2
111,59,21,0,"German/ Russian",50,0
112,55,19,1,"german, spanish",50,-2
113,8,22,0,Romania,50,-1
114,60,23,1,Chinese,10,-2
115,24,24,1,German,500,2
116,62,29,1,German,0,-2
117,63,20,0,manchu,500,2
118,64,20,2,"German ",10,-2
119,65,21,0,Austria,10,-2
120,14,24,1,German,500,2
121,67,25,0,German,500,2
122,68,24,1,German,0,-2
124,68,24,1,ger,0,-2
