id,internal_id,test_id,user_id,startedTime,updateTime,finished,state
162,417,38,7,"2024-05-06 19:53:12","2024-05-06 20:25:14",1,
163,420,38,17,"2024-05-06 20:34:19","2024-05-06 20:42:09",1,
164,662,38,8,"2024-05-06 21:11:39","2024-05-27 21:04:44",1,
165,424,38,17,"2024-05-06 21:33:21","2024-05-06 21:33:21",0,
166,432,38,19,"2024-05-07 00:26:00","2024-05-07 00:35:04",1,
167,434,38,20,"2024-05-07 00:30:56","2024-05-07 00:55:05",1,
168,442,38,21,"2024-05-07 07:32:28","2024-05-07 07:39:50",1,
169,451,38,23,"2024-05-07 09:11:53","2024-05-07 09:35:09",1,
170,453,38,24,"2024-05-07 09:30:47","2024-05-07 09:48:50",1,
171,456,38,25,"2024-05-07 10:15:18","2024-05-07 10:23:20",1,
172,457,38,9,"2024-05-07 10:52:18","2024-05-07 11:01:42",1,
173,458,38,9,"2024-05-07 11:04:06","2024-05-07 11:04:06",0,
174,546,38,22,"2024-05-07 11:57:01","2024-05-08 17:12:45",1,
175,463,38,26,"2024-05-07 12:51:54","2024-05-07 12:51:54",0,
176,467,38,27,"2024-05-07 13:13:04","2024-05-07 13:22:23",1,
177,468,38,27,"2024-05-07 13:22:37","2024-05-07 13:22:37",0,
178,469,38,10,"2024-05-07 14:10:26","2024-05-07 14:17:53",1,
179,474,38,28,"2024-05-07 19:03:24","2024-05-07 20:24:25",1,
180,476,38,29,"2024-05-07 19:29:19","2024-05-07 20:03:27",1,
181,479,38,30,"2024-05-07 21:05:14","2024-05-07 21:11:43",1,
182,482,38,31,"2024-05-08 05:06:45","2024-05-08 05:29:34",1,
183,488,38,32,"2024-05-08 08:45:38","2024-05-08 08:55:00",1,
184,489,38,33,"2024-05-08 08:47:18","2024-05-08 08:56:02",1,
185,494,38,34,"2024-05-08 08:59:30","2024-05-08 09:07:11",1,
186,497,38,35,"2024-05-08 09:44:45","2024-05-08 09:48:48",1,
187,503,38,36,"2024-05-08 11:08:29","2024-05-08 11:23:14",1,
188,506,38,37,"2024-05-08 11:38:07","2024-05-08 11:51:25",1,
189,509,38,38,"2024-05-08 11:55:52","2024-05-08 12:27:31",1,
190,511,38,16,"2024-05-08 11:59:11","2024-05-08 12:05:14",1,
191,515,38,39,"2024-05-08 12:12:39","2024-05-08 12:30:32",1,
192,526,38,38,"2024-05-08 12:27:48","2024-05-08 12:27:48",0,
193,579,38,40,"2024-05-08 18:04:31","2024-05-08 18:16:31",1,
194,582,38,41,"2024-05-08 18:58:16","2024-05-08 19:05:51",1,
195,588,38,42,"2024-05-09 16:23:36","2024-05-09 16:31:14",1,
196,592,38,43,"2024-05-09 19:09:43","2024-05-09 19:35:55",0,
197,598,38,44,"2024-05-09 20:06:55","2024-05-09 20:12:35",1,
198,607,38,45,"2024-05-13 08:37:28","2024-05-13 08:59:03",1,
199,646,38,47,"2024-05-13 11:17:12","2024-05-19 18:06:16",0,
200,615,38,7,"2024-05-14 06:22:50","2024-05-14 06:22:50",0,
201,617,38,15,"2024-05-14 08:16:07","2024-05-14 08:30:06",1,
202,616,38,15,"2024-05-14 08:30:40","2024-05-14 08:30:40",0,
203,623,38,48,"2024-05-15 08:59:41","2024-05-15 08:59:41",0,
204,624,38,37,"2024-05-15 09:25:22","2024-05-15 09:25:22",0,
205,625,38,49,"2024-05-15 13:08:48","2024-05-15 13:24:57",1,
206,781,38,49,"2024-05-15 13:25:13","2024-09-02 21:13:32",1,
207,633,38,50,"2024-05-16 10:16:41","2024-05-16 10:16:41",0,
208,640,38,51,"2024-05-16 11:17:54","2024-05-16 11:47:06",1,
209,649,38,52,"2024-05-21 14:55:26","2024-05-21 15:04:13",1,
210,653,38,53,"2024-05-22 08:08:43","2024-05-22 08:14:27",1,
211,654,38,12,"2024-05-22 10:27:44","2024-05-22 10:41:33",1,
212,672,38,56,"2024-05-28 11:27:32","2024-05-28 11:37:31",1,
213,676,38,57,"2024-05-29 11:07:52","2024-05-29 11:16:08",1,
214,679,38,58,"2024-05-30 10:24:16","2024-05-30 10:30:57",1,
215,682,38,59,"2024-05-30 13:11:27","2024-05-30 13:18:54",1,
216,684,38,55,"2024-05-30 22:46:00","2024-05-30 23:01:06",1,
217,685,38,8,"2024-05-31 17:31:49","2024-05-31 17:31:49",0,
218,691,38,60,"2024-06-03 21:13:01","2024-06-03 21:23:00",1,
219,694,38,24,"2024-06-04 14:05:18","2024-06-04 14:18:27",1,
220,714,38,62,"2024-06-16 12:49:08","2024-06-16 12:51:34",1,
221,723,38,63,"2024-06-18 07:08:04","2024-06-18 07:24:20",1,
222,728,38,64,"2024-06-19 10:08:25","2024-06-19 10:15:50",1,
223,746,38,55,"2024-07-01 20:44:58","2024-08-31 22:53:03",0,
224,732,38,65,"2024-07-02 11:52:40","2024-07-02 12:24:34",1,
225,792,38,14,"2024-09-02 19:26:15","2024-09-03 07:20:33",1,
226,785,38,49,"2024-09-02 21:14:12","2024-09-02 21:14:44",0,
227,799,38,20,"2024-09-03 15:06:09","2024-09-03 15:06:09",0,
228,830,38,67,"2024-09-11 12:37:10","2024-09-11 12:48:35",1,
229,964,51,16,"2024-09-28 23:27:54","2024-09-28 23:29:55",0,
