id,fixedIndex,trait,question,p1,p2,p3,p4,responseLabel1,responseValue1,responseScore1,responseTrait1,responseLabel2,responseValue2,responseScore2,responseTrait2,responseLabel3,responseValue3,responseScore3,responseTrait3,responseLabel4,responseValue4,responseScore4,responseTrait4,type,skippable,instructions,itemSet
1,,kanji,"What is the Japanese translation of Japanese people?",1.7,-1,0,1,電車,電車,0,kanji,日本語,日本語,0,kanji,日本人,日本人,1,kanji,明るい,明るい,0,kanji,options,,"Pick the correct option.",
3,,kanji,"Which word reads: nihonjin?",1.7,-1,0,1,日本語,日本語,0,kanji,土曜日,土曜日,0,kanji,日本使,日本使,0,kanji,日本人,日本人,1,kanji,options,,"Pick the correct option.",
6,,kanji,"What is the English translation of 日本語?",1.7,-1,0,1,"Japanese people","Japanese people",0,kanji,"Japanese language","Japanese language",1,kanji,fire,fire,0,kanji,exit,exit,0,kanji,options,,"Pick the correct option.",
8,,kanji,"How is this word read: 日本語?",1.7,-1,0,1,hachiman,hachiman,0,kanji,nihongo,nihongo,1,kanji,gogo,gogo,0,kanji,nihonjin,nihonjin,0,kanji,options,,"Pick the correct option.",
9,,kanji,"What is the Japanese translation of 1 o´clock?",1.7,-1,0,1,一時,一時,1,kanji,午前,午前,0,kanji,十二時,十二時,0,kanji,午後,午後,0,kanji,options,,"Pick the correct option.",
11,,kanji,"Which word reads: ichiji?",1.7,-1,0,1,一時,一時,1,kanji,午前,午前,0,kanji,午後,午後,0,kanji,三時半,三時半,0,kanji,options,,"Pick the correct option.",
14,,kanji,"What is the English translation of 二百?",1.7,-1,0,1,200,200,1,kanji,"50,000","50,000",0,kanji,"9,000","9,000",0,kanji,700,700,0,kanji,options,,"Pick the correct option.",
16,,kanji,"How is this word read: 二百?",1.7,-1,0,1,kyuusen,kyuusen,0,kanji,goman,goman,0,kanji,nihyaku,nihyaku,1,kanji,nanahyaku,nanahyaku,0,kanji,options,,"Pick the correct option.",
17,,kanji,"What is the Japanese translation of 30?",1.7,-1,0,1,八万,八万,0,kanji,九千,九千,0,kanji,四千,四千,0,kanji,三十,三十,1,kanji,options,,"Pick the correct option.",
19,,kanji,"Which word reads: sanjuu?",1.7,-1,0,1,六十,六十,0,kanji,九千,九千,0,kanji,四千,四千,0,kanji,三十,三十,1,kanji,options,,"Pick the correct option.",
22,,kanji,"What is the English translation of 四千?",1.7,-1,0,1,"4,000","4,000",1,kanji,"80,000","80,000",0,kanji,200,200,0,kanji,30,30,0,kanji,options,,"Pick the correct option.",
