id,fixedIndex,trait,question,p1,p2,p3,p4,responseLabel1,responseValue1,responseScore1,responseTrait1,responseLabel2,responseValue2,responseScore2,responseTrait2,responseLabel3,responseValue3,responseScore3,responseTrait3,responseLabel4,responseValue4,responseScore4,responseTrait4,type,skippable,instructions,itemSet
2,,kanji,"What is the English translation of 日本人?",1.7,-1,0,1,"9,000","9,000",0,kanji,entrance,entrance,0,kanji,"Japanese people","Japanese people",1,kanji,"Japanese language","Japanese language",0,kanji,options,,"Pick the correct option.",
4,,kanji,"How is this word read: 日本人?",1.7,-1,0,1,nihonjin,nihonjin,1,kanji,nomu,nomu,0,kanji,nihongo,nihongo,0,kanji,yama,yama,0,kanji,options,,"Pick the correct option.",
5,,kanji,"What is the Japanese translation of Japanese language?",1.7,-1,0,1,日本語,日本語,1,kanji,日本人,日本人,0,kanji,飲む,飲む,0,kanji,四月,四月,0,kanji,options,,"Pick the correct option.",
7,,kanji,"Which word reads: nihongo?",1.7,-1,0,1,多少,多少,0,kanji,日本語,日本語,1,kanji,日本人,日本人,0,kanji,六十,六十,0,kanji,options,,"Pick the correct option.",
10,,kanji,"What is the English translation of 一時?",1.7,-1,0,1,"1 o´clock","1 o´clock",1,kanji,"8 years","8 years",0,kanji,3:30,3:30,0,kanji,"5 minutes","5 minutes",0,kanji,options,,"Pick the correct option.",
12,,kanji,"How is this word read: 一時?",1.7,-1,0,1,gozen,gozen,0,kanji,hachinen,hachinen,0,kanji,sanjihan,sanjihan,0,kanji,ichiji,ichiji,1,kanji,options,,"Pick the correct option.",
13,,kanji,"What is the Japanese translation of 200?",1.7,-1,0,1,二百,二百,1,kanji,八万,八万,0,kanji,三十,三十,0,kanji,五万,五万,0,kanji,options,,"Pick the correct option.",
15,,kanji,"Which word reads: nihyaku?",1.7,-1,0,1,三十,三十,0,kanji,五万,五万,0,kanji,二百,二百,1,kanji,六十,六十,0,kanji,options,,"Pick the correct option.",
18,,kanji,"What is the English translation of 三十?",1.7,-1,0,1,30,30,1,kanji,"4,000","4,000",0,kanji,"80,000","80,000",0,kanji,700,700,0,kanji,options,,"Pick the correct option.",
20,,kanji,"How is this word read: 三十?",1.7,-1,0,1,nanahyaku,nanahyaku,0,kanji,nihyaku,nihyaku,0,kanji,sanjuu,sanjuu,1,kanji,kyuusen,kyuusen,0,kanji,options,,"Pick the correct option.",
21,,kanji,"What is the Japanese translation of 4,000?",1.7,-1,0,1,四千,四千,1,kanji,五万,五万,0,kanji,九千,九千,0,kanji,二百,二百,0,kanji,options,,"Pick the correct option.",
23,,kanji,"Which word reads: yonsen?",1.7,-1,0,1,八万,八万,0,kanji,二百,二百,0,kanji,七百,七百,0,kanji,四千,四千,1,kanji,options,,"Pick the correct option.",
26,,kanji,"What is the English translation of 五万?",1.7,-1,0,1,30,30,0,kanji,"80,000","80,000",0,kanji,"50,000","50,000",1,kanji,200,200,0,kanji,options,,"Pick the correct option.",
28,,kanji,"How is this word read: 五万?",1.7,-1,0,1,nanahyaku,nanahyaku,0,kanji,sanjuu,sanjuu,0,kanji,kyuusen,kyuusen,0,kanji,goman,goman,1,kanji,options,,"Pick the correct option.",
29,,kanji,"What is the Japanese translation of 60?",1.7,-1,0,1,三十,三十,0,kanji,九千,九千,0,kanji,七百,七百,0,kanji,六十,六十,1,kanji,options,,"Pick the correct option.",
31,,kanji,"Which word reads: rokujuu?",1.7,-1,0,1,三十,三十,0,kanji,七百,七百,0,kanji,九千,九千,0,kanji,六十,六十,1,kanji,options,,"Pick the correct option.",
34,,kanji,"What is the English translation of 七百?",1.7,-1,0,1,700,700,1,kanji,30,30,0,kanji,"9,000","9,000",0,kanji,200,200,0,kanji,options,,"Pick the correct option.",
36,,kanji,"How is this word read: 七百?",1.7,-1,0,1,yonsen,yonsen,0,kanji,kyuusen,kyuusen,0,kanji,nanahyaku,nanahyaku,1,kanji,nihyaku,nihyaku,0,kanji,options,,"Pick the correct option.",
37,,kanji,"What is the Japanese translation of 80,000?",1.7,-1,0,1,五万,五万,0,kanji,四千,四千,0,kanji,七百,七百,0,kanji,八万,八万,1,kanji,options,,"Pick the correct option.",
